subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,outcome_numeric,unchosen_machine_label,prob_of_no_loss_unchosen,counterfactual_reward,counterfactual_outcome_numeric,prompt_used,llm_history_context_turns
5,1,3,1,C,1,0.75,1,Q,0.25,1,1,"Casino 3, visit 1: Choose Q or C.",1
5,2,1,1,Z,1,0.5,1,H,0.5,-1,0,"Outcome: You chose Machine C and experienced a win (Reward: 1). The other machine, Machine Q, would have resulted in a win (Reward: 1).

Casino 1, visit 1: Choose Z or H.",2
5,3,3,2,C,1,0.75,1,Q,0.25,-1,0,"Outcome: You chose Machine Z and experienced a win (Reward: 1). The other machine, Machine H, would have resulted in a loss (Reward: -1).

Casino 3, visit 2: Choose Q or C.",3
5,4,2,1,T,1,0.25,1,M,0.75,-1,0,"Outcome: You chose Machine C and experienced a win (Reward: 1). The other machine, Machine Q, would have resulted in a loss (Reward: -1).

Casino 2, visit 1: Choose M or T.",4
5,5,3,3,C,1,0.75,1,Q,0.25,1,1,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a loss (Reward: -1).

Casino 3, visit 3: Choose Q or C.",5
5,6,1,2,Z,-1,0.5,0,H,0.5,1,1,"Outcome: You chose Machine C and experienced a win (Reward: 1). The other machine, Machine Q, would have resulted in a win (Reward: 1).

Casino 1, visit 2: Choose Z or H.",6
5,7,3,4,C,1,0.75,1,Q,0.25,-1,0,"Outcome: You chose Machine Z and experienced a loss (Reward: -1). The other machine, Machine H, would have resulted in a win (Reward: 1).

Casino 3, visit 4: Choose Q or C.",7
5,8,2,2,T,1,0.25,1,M,0.75,1,1,"Outcome: You chose Machine C and experienced a win (Reward: 1). The other machine, Machine Q, would have resulted in a loss (Reward: -1).

Casino 2, visit 2: Choose M or T.",8
5,9,2,3,T,-1,0.25,0,M,0.75,-1,0,"Outcome: You chose Machine T and experienced a win (Reward: 1). The other machine, Machine M, would have resulted in a win (Reward: 1).

Casino 2, visit 3: Choose M or T.",9
5,10,3,5,C,1,0.75,1,Q,0.25,-1,0,"Outcome: You chose Machine T and experienced a loss (Reward: -1). The other machine, Machine M, would have resulted in a loss (Reward: -1).

Casino 3, visit 5: Choose Q or C.",10
5,11,2,4,T,1,0.25,1,M,0.75,1,1,"Outcome: You chose Machine C and experienced a win (Reward: 1). The other machine, Machine Q, would have resulted in a loss (Reward: -1).

Casino 2, visit 4: Choose M or T.",11
